TSNE1,TSNE2
-66.45109,30.978865
-55.88267,-36.70845
6.593392,-36.25475
30.542696,6.055203
7.251109,-4.2468004
-15.939368,-49.316864
-65.666336,39.36559
10.932184,-6.0966563
25.319458,56.110756
50.121155,-50.47326
-57.545757,17.57225
44.122482,42.540394
-43.75421,-48.359512
32.054405,-48.80514
55.341488,39.86296
0.9599224,-64.74737
-34.787693,21.709236
-30.26499,-30.38133
57.886604,-18.017666
-10.98614,-81.83523
64.88946,0.45058468
-38.266285,-27.317688
26.58797,50.03771
47.152847,-2.7556474
22.542038,4.12292
39.43436,-34.548447
60.236115,32.495342
10.254273,25.47578
-35.299408,-41.31499
-12.381496,48.746872
-34.473927,3.5144653
25.356733,-27.18168
16.072865,-24.61525
-60.998894,32.97924
-42.358253,47.48342
-9.905203,-57.63944
-7.433331,47.545727
-28.029633,-54.383915
-39.07324,20.926722
31.682354,-3.830838
-33.250114,8.307753
-82.19974,25.555895
-20.186749,-5.2842617
29.90193,-68.921616
3.762607,-70.90483
41.690044,-57.69406
14.352382,9.887175
67.69505,-0.48309547
29.770348,-54.449387
7.096249,57.676357
5.16471,34.919117
-8.727075,-14.0857
-17.76092,5.7834444
-9.212477,-16.932522
22.147633,45.27665
-23.564741,3.7946956
-49.635277,-27.358934
-44.21907,38.50496
2.7861443,-26.81714
41.897896,58.726677
35.137547,-43.42451
77.138596,17.717798
-31.789455,56.07325
14.924981,47.74458
-54.66785,-39.134758
-35.26293,49.555412
73.403534,21.819872
-13.720521,27.649868
-25.247023,44.527058
6.3249736,-31.059017
44.093876,-59.95978
26.736633,-44.827625
19.797209,-18.470608
37.513927,-43.09172
-11.164729,8.647564
-9.007409,-27.760698
-19.33432,43.304653
63.953377,30.370066
-32.85772,41.318527
-55.545525,17.64853
4.989177,-6.169347
3.0348647,41.50834
-40.235184,-34.993523
11.704663,12.39009
27.238726,-51.794445
27.94543,-10.36112
-23.719894,3.834471
-72.23258,34.228947
44.588528,14.846642
-56.57961,-50.259304
48.555744,14.53522
11.505943,-102.360085
-20.524662,-46.45129
-38.301685,24.049852
24.851946,-30.297907
17.120255,53.16798
-20.544731,41.265076
48.66071,9.361933
-40.65095,1.1267706
12.657744,56.769848
9.117203,44.924942
-16.528107,-49.2267
-53.114784,-43.572353
38.61766,-40.30392
18.537811,26.174479
50.04369,38.08886
-51.37751,-47.456303
21.502804,-66.89329
-29.94665,59.434765
-12.817075,-63.105766
16.03719,32.416206
7.2484555,-37.33536
-39.854332,38.861332
-46.51995,29.08182
5.382946,-82.751144
-9.967711,-58.074642
-31.976177,34.18034
45.63728,11.922206
-23.76411,41.788475
-23.809885,-56.821026
-22.657633,19.44619
-21.210915,34.128796
10.423782,-101.96997
42.798943,43.66143
-34.390762,66.00726
58.226166,33.11327
23.64525,-58.553562
-50.754917,22.123228
-2.0212824,-1.7420406
-45.67052,4.7215204
49.3487,68.96436
41.505764,12.33016
-49.8126,-40.447865
-73.688,31.401274
-27.216055,-47.501144
64.79697,15.807608
73.13757,22.86458
23.668045,-11.378394
38.70072,-6.3287244
-11.573699,30.97058
-61.886616,41.922768
-33.166775,41.902725
46.551846,67.83665
-9.95277,35.426
-9.332965,-49.67693
44.68818,-57.52722
8.604591,-20.851763
-27.906464,-6.786735
-35.797718,-27.8688
44.265175,36.485138
57.439503,-20.895145
-8.621618,-14.118189
29.599144,-39.406414
0.39509815,-71.73862
48.629303,1.9430374
-29.71389,50.532997
-26.8921,22.83813
43.810577,-28.212872
-4.772284,-59.762695
0.43706098,5.47932
14.473585,-40.378845
38.391003,14.185677
29.028442,-6.9449015
7.748562,-105.8187
51.041454,68.44546
-68.180664,16.991314
-26.100603,35.27298
-79.06902,28.592632
-81.99156,22.872679
-53.584583,-42.54299
-33.112286,-60.307144
-62.381214,-42.2813
70.365036,28.148405
-1.6906879,-4.2307925
73.19037,12.965838
19.034088,35.807323
35.693573,-62.800972
30.457495,-58.633995
43.298286,-35.384308
7.0273843,60.805122
61.60689,44.10541
18.998552,43.80505
3.9521399,-107.22115
43.262356,27.856049
-48.230057,37.114704
3.6833985,-82.41541
4.6512847,41.124302
54.529007,-45.02374
-36.05322,-2.2919102
17.863037,-38.017853
22.394464,-35.53667
4.7667074,-105.42359
-5.9439836,-1.775362
-9.626559,50.354877
20.460184,24.804203
44.353153,-42.828716
-3.0176241,-27.240717
53.747776,34.821354
1.9485855,-34.036926
1.6413436,24.60208
-18.716375,-24.587204
0.40944123,84.63019
49.80903,63.410633
-47.39241,-45.984535
-27.14999,54.94981
-7.363212,16.249628
-31.777994,-61.133293
-23.618694,33.577614
-39.34035,29.357382
6.3781333,63.03912
-12.710723,49.790367
39.443157,-68.9083
-13.48399,17.491938
-4.6757364,30.946098
18.397837,-1.2165289
-43.3992,-2.4940822
-36.886066,25.893147
47.759907,-31.719303
-47.884056,-32.188335
43.26586,-2.4784672
-14.815199,-51.06991
-30.705742,48.21431
-2.5152628,57.084747
-51.256634,15.977186
-43.92473,15.9794
-0.40932342,-17.10202
-34.061665,39.62345
5.8550487,-1.088532
51.675518,-40.36795
63.591118,19.403318
24.868954,13.942996
1.0847255,-78.97738
58.52503,42.987232
53.73006,32.308273
-0.5877078,-11.388208
32.078735,-40.440197
29.764673,-63.302616
25.83306,42.189754
11.643207,13.165236
-68.26165,33.485237
-1.050895,-17.138823
15.297591,55.507004
-11.284505,80.02934
4.2403073,-106.325294
-15.208529,-30.268938
27.315754,-48.147083
-22.908216,-54.765133
11.999943,-103.68097
2.7160506,-39.301113
5.395059,6.582628
45.28542,8.032997
32.400593,-5.3373694
-52.009163,1.2193328
59.54609,24.530632
40.69758,-3.9402313
21.75809,-34.12637
2.5420969,37.664944
35.938667,-33.094734
31.586203,0.07360002
56.620243,37.165855
11.068276,-66.47083
-66.09107,43.521217
4.020727,28.292355
4.5312314,9.74456
-57.908855,-35.70551
19.858557,49.956074
-14.026917,45.90657
-65.09455,38.192333
-45.11531,-32.129414
-34.617058,9.865155
9.395186,46.963364
-55.07058,-38.865227
0.9326886,-62.12303
-57.334763,20.41312
-35.092327,0.0015327833
20.662321,-57.92306
3.3003676,15.364888
2.8669436,26.375282
-18.353163,22.974993
-11.959221,79.86637
-4.197192,-28.136963
-59.882847,32.452866
-0.7675227,65.27191
-3.0818822,48.799168
44.695087,43.31875
70.48453,27.774677
-27.827759,61.894554
-32.209103,-58.56321
-55.45998,9.465276
-20.287153,-53.667946
-1.7807343,-50.745533
-4.2202024,-65.78149
-22.950169,-13.18847
-0.07109032,-42.150383
-49.41359,-52.05303
-17.430182,-42.103024
4.6737227,-83.67529
-47.862427,3.1414301
43.366436,-62.579376
13.935191,-28.89573
-16.111803,-66.862274
-6.749002,-5.704477
74.71024,16.1851
-5.0820937,1.893893
-37.239063,-28.419748
-19.839102,25.371334
46.749874,11.491553
-41.584576,32.184875
61.40361,45.0588
-18.950974,56.095497
-2.250584,15.542073
43.73845,8.411153
56.92219,31.690088
-81.94521,25.65684
-49.83262,-27.320513
8.320168,24.08602
-66.97816,27.615807
52.498592,37.289948
-15.710119,-37.627644
-15.362452,-23.913143
-54.422894,-49.481113
